Team,League,Division,Ranking,Year,SB,CS,SO,SH,SF,IBB,BatAge,R,H,HR,RBI,RPG,AvgHomeAtt,Playoff
TEX,AL,West,2,2016,99,36,1220,18,40,23,28.4,765,1446,215,746,4.72,"33,462",1
TOR,AL,East,8,2016,54,24,1362,26,40,16,30,759,1358,221,728,4.69,"41,878",1
WSN,NL,East,3,2016,121,39,1252,48,63,49,28.8,763,1403,203,735,4.71,"30,641",1
ARI,NL,West,6,2017,103,30,1456,39,27,44,28.3,812,1405,220,776,5.01,"26,350",1
ATL,NL,East,23,2017,77,31,1184,59,32,57,28.7,732,1467,165,706,4.52,"30,929",0
BAL,AL,East,21,2017,32,13,1412,10,37,12,28.6,743,1469,232,713,4.59,"25,042",0
BOS,AL,East,5,2017,106,31,1224,9,36,48,27.3,785,1461,168,735,4.85,"36,021",1
CHC,NL,Central,7,2017,62,31,1401,48,32,54,27.1,822,1402,223,785,5.07,"39,501",1
CHW,AL,Central,27,2017,71,31,1397,35,33,17,26.7,706,1412,186,670,4.36,"20,117",0
CIN,NL,Central,26,2017,120,39,1329,50,42,41,27.1,753,1390,219,715,4.65,"22,678",0
CLE,AL,Central,2,2017,88,23,1153,23,45,30,28,818,1449,212,780,5.05,"25,286",1
COL,NL,West,9,2017,59,34,1408,62,41,46,28.3,824,1510,192,793,5.09,"36,465",0
DET,AL,Central,30,2017,65,34,1313,11,27,21,29.6,735,1435,187,699,4.54,"28,662",0
FLA,NL,East,3,2017,98,42,1087,11,61,27,28.8,896,1581,238,854,5.53,"29,675",0
HOU,AL,West,13,2017,91,31,1166,17,37,19,28.9,702,1436,193,660,4.33,"27,412",1
KCR,AL,Central,15,2017,136,44,1198,17,46,30,30,710,1314,186,678,4.38,"37,279",0
LAA,AL,West,1,2017,77,28,1380,31,38,41,27.9,770,1347,221,730,4.75,"46,492",0
LAD,NL,West,18,2017,91,30,1282,50,41,48,28.4,778,1497,194,743,4.8,"21,179",1
MIL,NL,Central,10,2017,128,41,1571,42,26,34,27.4,732,1363,224,695,4.52,"30,461",0
MIN,AL,Central,11,2017,95,28,1342,26,39,26,27,815,1444,206,781,5.03,"25,324",0
NYM,NL,East,25,2017,58,23,1291,36,37,31,28.8,735,1379,224,713,4.54,"30,378",0
NYY,AL,East,8,2017,90,22,1386,18,56,22,28.6,858,1463,241,821,5.3,"38,851",1
OAK,AL,West,22,2017,57,22,1491,13,40,15,28.7,739,1344,234,708,4.56,"18,219",0
PHI,NL,East,28,2017,59,25,1417,21,36,25,26.6,690,1382,174,654,4.26,"23,523",0
PIT,NL,Central,20,2017,67,36,1213,42,28,39,28.2,668,1331,151,635,4.12,"23,697",0
SDP,NL,West,24,2017,89,33,1499,52,33,20,26.2,604,1251,189,576,3.73,"26,401",0
SEA,AL,West,16,2017,89,35,1267,14,35,31,29.5,750,1436,200,714,4.63,"26,364",0
SFG,NL,West,29,2017,76,34,1204,31,52,37,29.5,639,1382,128,612,3.94,"40,786",0
STL,NL,Central,12,2017,81,31,1348,47,44,36,28,761,1402,196,728,4.7,"42,567",0
TBR,AL,East,14,2017,88,34,1538,16,48,33,28.3,694,1340,228,671,4.28,"15,477",0
TEX,AL,West,17,2017,113,44,1493,27,39,18,28.3,799,1326,237,756,4.93,"30,960",0
TOR,AL,East,19,2017,53,24,1327,25,35,12,30.9,693,1320,222,661,4.28,"39,554",0
WSN,NL,East,4,2017,108,30,1327,43,45,56,29.2,819,1477,215,796,5.06,"31,173",1
