Team,League,Division,Ranking,Year,SB,CS,SO,SH,SF,IBB,BatAge
KCR,AL,Central,24,2011,153,58,1006,55,57,37,25.8
LAA,AL,West,11,2011,135,52,1086,50,32,33,28.9
LAD,NL,West,13,2011,126,40,1087,71,43,61,29.8
MIL,NL,Central,3,2011,94,31,1083,85,44,53,28.9
MIN,AL,Central,29,2011,92,39,1048,31,25,24,27.5
NYM,NL,East,19,2011,130,35,1085,65,48,56,28
NYY,AL,East,2,2011,147,46,1138,36,51,34,30.6
OAK,AL,West,20,2011,117,43,1094,34,57,20,29.1
PHI,NL,East,1,2011,96,24,1024,65,38,52,31.5
PIT,NL,Central,23,2011,108,52,1308,75,44,31,27.2
SDP,NL,West,26,2011,170,44,1320,55,47,42,28
SEA,AL,West,28,2011,125,40,1280,38,41,33,29.4
SFG,NL,West,12,2011,85,51,1122,62,43,47,30.2
STL,NL,Central,8,2011,57,39,978,84,40,64,29.3
TBR,AL,East,7,2011,155,62,1193,37,35,31,28.3
TEX,AL,West,4,2011,143,45,930,39,49,35,29.1
TOR,AL,East,14,2011,131,52,1184,31,47,41,28.3
WSN,NL,East,15,2011,106,38,1323,82,32,40,28.4
ARI,NL,West,17,2012,93,51,1266,61,45,47,28.3
ATL,NL,East,6,2012,101,32,1289,53,46,37,28.4
BAL,AL,East,8,2012,58,29,1315,38,30,24,28
BOS,AL,East,24,2012,97,31,1197,34,55,27,29.4
CHC,NL,Central,29,2012,94,45,1235,42,24,29,27.8
CHW,AL,Central,14,2012,109,43,1203,31,36,24,30
CIN,NL,Central,2,2012,87,27,1266,73,37,54,28.8
CLE,AL,Central,26,2012,110,44,1087,17,39,28,27.8
COL,NL,West,28,2012,100,40,1213,74,39,34,28
DET,AL,Central,11,2012,59,23,1103,36,39,46,27.9
FLA,NL,East,25,2012,105,46,1365,54,30,19,26.6
HOU,AL,West,30,2012,132,38,1032,26,41,35,26.1
KCR,AL,Central,23,2012,134,33,1113,47,41,29,28.7
LAA,AL,West,10,2012,104,44,1156,82,38,49,30.4
LAD,NL,West,13,2012,149,41,1228,60,40,46,28.3
MIL,NL,Central,15,2012,158,39,1240,76,35,35,29.1
MIN,AL,Central,27,2012,135,37,1069,33,56,28,28.8
NYM,NL,East,21,2012,79,38,1250,64,30,43,27.9
NYY,AL,East,3,2012,93,27,1176,31,49,31,32.9
OAK,AL,West,4,2012,122,32,1387,27,34,29,27.7
PHI,NL,East,16,2012,116,23,1094,72,39,41,31.1
PIT,NL,Central,18,2012,73,52,1354,62,45,32,27.7
SDP,NL,West,19,2012,155,46,1238,63,34,36,27.4
SEA,AL,West,20,2012,104,35,1259,32,35,21,27.1
SFG,NL,West,5,2012,118,39,1097,69,61,44,27.8
STL,NL,Central,12,2012,91,37,1192,69,49,45,29.2
TBR,AL,East,9,2012,134,44,1323,34,42,26,29.7
TEX,AL,West,7,2012,91,44,1103,36,53,44,29.7
TOR,AL,East,22,2012,123,41,1251,33,45,29,27.8
WSN,NL,East,1,2012,105,35,1325,50,36,43,27.2
ARI,NL,West,6,2013,103,30,1456,39,27,44,28.3
ATL,NL,East,23,2013,77,31,1184,59,32,57,28.7
BAL,AL,East,21,2013,32,13,1412,10,37,12,28.6
BOS,AL,East,5,2013,106,31,1224,9,36,48,27.3
CHC,NL,Central,7,2013,62,31,1401,48,32,54,27.1
CHW,AL,Central,27,2013,71,31,1397,35,33,17,26.7
CIN,NL,Central,26,2013,120,39,1329,50,42,41,27.1
CLE,AL,Central,2,2013,88,23,1153,23,45,30,28
COL,NL,West,9,2013,59,34,1408,62,41,46,28.3
DET,AL,Central,30,2013,65,34,1313,11,27,21,29.6
FLA,NL,East,3,2013,98,42,1087,11,61,27,28.8
HOU,AL,West,13,2013,91,31,1166,17,37,19,28.9
KCR,AL,Central,15,2013,136,44,1198,17,46,30,30
LAA,AL,West,1,2013,77,28,1380,31,38,41,27.9
LAD,NL,West,18,2013,91,30,1282,50,41,48,28.4
MIL,NL,Central,10,2013,128,41,1571,42,26,34,27.4
MIN,AL,Central,11,2013,95,28,1342,26,39,26,27
NYM,NL,East,25,2013,58,23,1291,36,37,31,28.8
NYY,AL,East,8,2013,90,22,1386,18,56,22,28.6
OAK,AL,West,22,2013,57,22,1491,13,40,15,28.7
PHI,NL,East,28,2013,59,25,1417,21,36,25,26.6
PIT,NL,Central,20,2013,67,36,1213,42,28,39,28.2
SDP,NL,West,24,2013,89,33,1499,52,33,20,26.2
SEA,AL,West,16,2013,89,35,1267,14,35,31,29.5
SFG,NL,West,29,2013,76,34,1204,31,52,37,29.5
STL,NL,Central,12,2013,81,31,1348,47,44,36,28
TBR,AL,East,14,2013,88,34,1538,16,48,33,28.3
TEX,AL,West,17,2013,113,44,1493,27,39,18,28.3
TOR,AL,East,19,2013,53,24,1327,25,35,12,30.9
WSN,NL,East,4,2013,108,30,1327,43,45,56,29.2
ARI,NL,West,24,2014,137,31,1427,43,38,43,26.7
ATL,NL,East,26,2014,75,34,1240,64,52,60,28.9
BAL,AL,East,7,2014,19,13,1324,17,36,19,28.5
BOS,AL,East,5,2014,83,24,1160,8,40,34,28.5
CHC,NL,Central,1,2014,66,34,1339,42,37,45,27.4
CHW,AL,Central,19,2014,77,36,1285,29,44,16,28.3
CIN,NL,Central,29,2014,139,51,1284,58,44,37,27.8
CLE,AL,Central,4,2014,134,31,1246,31,60,16,29
COL,NL,West,20,2014,66,39,1330,54,34,35,27.8
DET,AL,Central,11,2014,58,29,1303,17,38,32,29.9
FLA,NL,East,15,2014,102,44,1452,27,31,31,26.4
HOU,AL,West,16,2014,121,35,1224,38,34,23,28.5
KCR,AL,Central,21,2014,73,34,991,36,49,21,28.5
LAA,AL,West,6,2014,45,26,1321,30,32,31,28.9
LAD,NL,West,17,2014,71,28,1213,46,38,40,28.3
MIL,NL,Central,22,2014,181,56,1543,53,39,34,27.5
MIN,AL,Central,30,2014,91,32,1426,27,43,24,26.9
NYM,NL,East,9,2014,42,18,1302,35,41,43,29.5
NYY,AL,East,14,2014,72,22,1188,21,49,19,30.1
OAK,AL,West,25,2014,50,23,1145,13,34,19,28.7
PHI,NL,East,23,2014,96,45,1376,46,30,33,26.9
PIT,NL,Central,18,2014,110,45,1334,41,36,39,28.9
SDP,NL,West,28,2014,125,45,1500,36,36,30,28.1
SEA,AL,West,13,2014,56,28,1288,24,41,29,30.5
SFG,NL,West,10,2014,79,36,1107,42,46,43,29.2
STL,NL,Central,12,2014,35,26,1318,37,41,28,28.5
TBR,AL,East,27,2014,60,37,1482,18,28,20,27.7
TEX,AL,West,2,2014,99,36,1220,18,40,23,28.4
TOR,AL,East,8,2014,54,24,1362,26,40,16,30
WSN,NL,East,3,2014,121,39,1252,48,63,49,28.8
ARI,NL,West,18,2015,132,44,1312,46,57,40,26.5
ATL,NL,East,28,2015,69,33,1107,67,31,39,28.8
BAL,AL,East,16,2015,44,25,1331,20,32,23,27.9
BOS,AL,East,19,2015,71,27,1148,30,42,28,28.2
CHC,NL,Central,3,2015,95,37,1518,32,35,47,26.9
CHW,AL,Central,20,2015,68,42,1231,30,37,22,28.2
CIN,NL,Central,29,2015,134,38,1255,47,40,38,29.5
CLE,AL,Central,15,2015,86,28,1157,47,50,34,28
COL,NL,West,25,2015,97,43,1283,44,34,47,28
DET,AL,Central,22,2015,83,51,1259,23,35,36,28.3
FLA,NL,East,10,2015,121,48,1392,28,43,22,26.3
HOU,AL,West,4,2015,104,34,973,34,47,28,29.1
KCR,AL,Central,11,2015,52,34,1150,37,40,34,28.7
LAA,AL,West,6,2015,59,34,1258,49,30,31,29.6
